Art,Name,Type,Archetype,Rarity,Requirements,Ammo,Element,Tier,Excels,Source,Craftable?,Requires,Released,Slot,Ammo?,Element?,Can be Crafted?,Best of?,Rank
,Shadow Price,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvP,Nightfall: The Ordeals, No, Free-to-Play,The Final Shape,Energy,Primary,Arc,No,Top-tier,A › Strong
,Shattered Cipher,Machine Gun,Rapid-Fire,Legendary,Free-to-Play, Heavy, Void,D > Worst,-,World loot pool, No, Free-to-Play,Season 14,Heavy,Heavy,Void,No,,D › Worst
,Shayura's Wrath,Submachine Gun,Precision,Legendary,The Final Shape, Primary, Void,S > Best,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 14,Energy,Primary,Void,No,Top-tier,S › Best
,Shepherd's Watch,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 15,Kinetic,Special,Kinetic,No,,C › Weak
,Shining Sphere,Rocket Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,Iron Banner, No, Free-to-Play,Season 11,Heavy,Heavy,Arc,No,,D › Worst
,Sightline Survey,Hand Cannon,Precision,Legendary,Episode 1: Echoes, Primary, Arc,A > Strong,PvE + PvP,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Silicon Neuroma,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Kinetic,A > Strong,PvE + PvP,Nightfall: The Ordeals, No, Free-to-Play,Season 16,Kinetic,Special,Kinetic,No,Top-tier,A › Strong
,Skyburner's Oath,Scout Rifle,Exotic,Exotic,Free-to-Play, Primary, Solar,C > Weak,-,Exotic Engram, No, Free-to-Play,Season 1,Energy,Primary,Solar,No,,C › Weak
,Slayer's Fang,Shotgun,Exotic,Exotic,Episode 2: Revenant, Special, Void,C > Weak,-,Exotic Quest, No, Episode 2: Revenant,Episode 2,Energy,Special,Void,No,,C › Weak
,Sleeper Simulant,Linear Fusion Rifle,Exotic,Exotic,Free-to-Play, Heavy, Solar,A > Strong,PvE,Exotic Kiosk, No, Free-to-Play,Season 3,Heavy,Heavy,Solar,No,Top-tier,A › Strong
,Sleeper Simulant,Linear Fusion Rifle,Exotic,Exotic,Free-to-Play, Heavy, Solar,A > Strong,PvE,Exotic Kiosk, No, Free-to-Play,Season 3,Heavy,Heavy,Solar,No,Top-tier,A › Strong
,Sleepless,Rocket Launcher,High-Impact,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Shattered Throne Dungeon, No, Free-to-Play,Season 13,Heavy,Heavy,Arc,No,,C › Weak
,Smite of Merain,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvE,King's Fall Raid, Yes, Free-to-Play,Season 18,Kinetic,Primary,Kinetic,Craftable,Top-tier,A › Strong
,Snorri FR5,Fusion Rifle,Precision,Legendary,Free-to-Play, Special, Void,A > Strong,PvP,Gunsmith, No, Free-to-Play,Season 16,Energy,Special,Void,No,Top-tier,A › Strong
,Sojourner's Tale,Shotgun,Precision,Legendary,Episode 2: Revenant, Special, Solar,B > Average,PvE,Splicer Engrams, No, Episode 2: Revenant,Episode 2,Energy,Special,Solar,No,,B › Average
,Sola's Scar,Sword,Caster,Legendary,The Final Shape, Heavy, Solar,D > Worst,-,Trials of Osiris, No, The Final Shape,Season 13,Heavy,Heavy,Solar,No,,D › Worst
,Sole Survivor,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Arc,B > Average,PvE,Fishing, No, Free-to-Play,Season 21,Energy,Special,Arc,No,,B › Average
,Someday,Shotgun,Precision,Legendary,The Final Shape, Special, Kinetic,S > Best,PvE + PvP,The Pale Heart, Yes, The Final Shape,The Final Shape,Kinetic,Special,Kinetic,Craftable,Top-tier,S › Best
,Something New,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Stasis,B > Average,-,Event: Solstice, No, Free-to-Play,Season 17,Kinetic,Primary,Stasis,No,,B › Average
,Song of Ir Yût,Machine Gun,Adaptive,Legendary,Free-to-Play, Heavy, Arc,A > Strong,PvE,Crota's End Raid, Yes, Free-to-Play,Season 22,Heavy,Heavy,Arc,Craftable,Top-tier,A › Strong
,Sorrow's Verse,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,Playlist: Crucible, No, Free-to-Play,Season 15,Energy,Primary,Arc,No,,C › Weak
,Sovereignity,Sniper Rifle,Adaptive,Legendary,Episode 2: Revenant, Special, Void,B > Average,PvE,Revenant Activities, No, Episode 2: Revenant,Episode 2,Energy,Special,Void,No,,B › Average
,Spare Rations,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,PvP,Fishing, No, Free-to-Play,Season 21,Kinetic,Primary,Kinetic,No,,C › Weak
,Speleologist,Machine Gun,Rapid-Fire,Legendary,Episode 1: Echoes, Heavy, Solar,A > Strong,PvE,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Heavy,Heavy,Solar,Craftable,Top-tier,A › Strong
,Spoiler Alert,Sidearm,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 15,Kinetic,Primary,Kinetic,No,,C › Weak
,Staccato-46,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Solar,B > Average,PvE,Gunsmith, No, Free-to-Play,Season 17,Energy,Primary,Solar,No,,B › Average
,Stars in Shadow,Pulse Rifle,High-Impact,Legendary,Free-to-Play, Primary, Solar,C > Weak,-,Playlist: Crucible, No, Free-to-Play,Season 12,Energy,Primary,Solar,No,,C › Weak
,Stay Frosty,Pulse Rifle,Lightweight,Legendary,Free-to-Play, Primary, Stasis,B > Average,PvP,Event: Dawning, No, Free-to-Play,Season 19,Kinetic,Primary,Stasis,No,,B › Average
,Steel Sybil Z-14,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Heavy,Heavy,Void,No,,C › Weak
,Still Hunt,Sniper Rifle,Exotic,Exotic,The Final Shape, Special, Solar,A > Strong,PvE,Exotic Quest, No, The Final Shape,The Final Shape,Energy,Special,Solar,No,Top-tier,A › Strong
,Stochastic Variable,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,Xûr, No, Free-to-Play,Season 14,Energy,Primary,Arc,No,,C › Weak
,Stormchaser,Linear Fusion Rifle,Aggressive,Legendary,Witch Queen Dungeon Key, Heavy, Arc,B > Average,PvE,Duality Dungeon, No, Episode 3: Heretic,Season 17,Heavy,Heavy,Arc,No,,B › Average
,Stormchaser,Linear Fusion Rifle,Aggressive,Legendary,Witch Queen Dungeon Key, Heavy, Arc,B > Average,PvE,Duality Dungeon, No, Episode 3: Heretic,Season 17,Heavy,Heavy,Arc,No,,B › Average
,Strident Whistle,Combat Bow,Precision,Legendary,Free-to-Play, Primary, Solar,A > Strong,PvE,Vanguard Focusing, No, Free-to-Play,Season 17,Energy,Primary,Solar,No,Top-tier,A › Strong
,Sturm,Hand Cannon,Exotic,Exotic,Free-to-Play, Primary, Kinetic,D > Worst,-,Exotic Kiosk, No, Free-to-Play,Season 1,Kinetic,Primary,Kinetic,No,,D › Worst
,Subjunctive,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvE,Undying, Yes, Free-to-Play,Season 23,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Submission,Submachine Gun,Lightweight,Legendary,The Witch Queen, Primary, Kinetic,B > Average,PvE + PvP,Vow of the Disciple Raid, Yes, Witch Queen,Season 16,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Subzero Salvo,Rocket Launcher,Precision,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,Europa, No, Free-to-Play,Season 12,Heavy,Heavy,Arc,No,,D › Worst
,Succession,Sniper Rifle,Aggressive,Legendary,Beyond Light Pack, Special, Kinetic,S > Best,PvE + PvP,Deep Stone Crypt Raid, Yes, Beyond Light Pack,Season 12,Kinetic,Special,Kinetic,Craftable,Top-tier,S › Best
,Succession (Brave),Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Kinetic,S > Best,PvE + PvP,Onslaught Activity, No, Free-to-Play,Into the Light,Kinetic,Special,Kinetic,No,Top-tier,S › Best
,Summun Bonun,Sword,Wave,Legendary,The Final Shape, Heavy, Arc,S > Best,PvE,Salvation's Edge Raid, Yes, The Final Shape,The Final Shape,Heavy,Heavy,Arc,Craftable,Top-tier,S › Best
,Sunshot,Hand Cannon,Exotic,Exotic,Free-to-Play, Primary, Solar,S > Best,PvE,Exotic Engram, No, Free-to-Play,Season 1,Energy,Primary,Solar,No,Top-tier,S › Best
,Supercluster,Shotgun,Pinpoint Slug,Legendary,Lightfall, Special, Strand,A > Strong,PvE,Starcrossed, Yes, Lightfall,Season 23,Kinetic,Special,Strand,Craftable,Top-tier,A › Strong
,Survivor's Epitaph,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvP,Playlist: Crucible, No, Free-to-Play,Season 14,Kinetic,Primary,Kinetic,No,,B › Average
,Suspectum-4fr,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Stasis,B > Average,-,World loot pool, No, Free-to-Play,The Final Shape,Heavy,Heavy,Stasis,No,,B › Average
,Suspectum-4fr,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Stasis,B > Average,-,World loot pool, No, Free-to-Play,The Final Shape,Heavy,Heavy,Stasis,No,,B › Average
,Swarm of the Raven,Grenade Launcher,Rapid-Fire,Legendary,Free-to-Play, Heavy, Void,B > Average,-,Iron Banner, No, Free-to-Play,Season 11,Heavy,Heavy,Void,No,,B › Average
,Sweet Business,Auto Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,D > Worst,-,Exotic Quest, No, Free-to-Play,Season 1,Kinetic,Primary,Kinetic,No,,D › Worst
,Sweet Sorrow,Auto Rifle,Rapid-Fire,Legendary,The Witch Queen, Primary, Arc,B > Average,PvE,Vox Obscura, Yes, Witch Queen,Season 16,Energy,Primary,Arc,Craftable,,B › Average
,Swordbreaker,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Strand,A > Strong,PvE,Crota's End Raid, Yes, Free-to-Play,Season 22,Kinetic,Special,Strand,Craftable,Top-tier,A › Strong
,Symmetry,Scout Rifle,Exotic,Exotic,Shadowkeep Pack, Primary, Arc,C > Weak,-,Exotic Kiosk, No, Shadowkeep Pack,Season 9,Energy,Primary,Arc,No,,C › Weak
,Synchronic Roulette,Submachine Gun,Precision,Legendary,Lightfall, Primary, Strand,C > Weak,-,Terminal Overload, No, Lightfall,Season 20,Kinetic,Primary,Strand,No,,C › Weak
,Syncopation-53,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Stasis,B > Average,PvP,Gunsmith, Yes, Free-to-Play,Season 16,Kinetic,Primary,Stasis,Craftable,,B › Average
,THE SWARM,Machine Gun,High-Impact,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Nightfall: The Ordeals, No, Free-to-Play,Season 13,Heavy,Heavy,Arc,No,,C › Weak
,Taipan-4fr,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,Gunsmith, Yes, Free-to-Play,Season 18,Heavy,Heavy,Void,Craftable,,C › Weak
,Taipan-4fr,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,Gunsmith, Yes, Free-to-Play,Season 18,Heavy,Heavy,Void,Craftable,,C › Weak
,Talons of the Eagle,Scout Rifle,High-Impact,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,PvP,Iron Banner, No, Free-to-Play,Season 11,Kinetic,Primary,Kinetic,No,,C › Weak
,Tarantula,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,World loot pool, No, Free-to-Play,Season 13,Heavy,Heavy,Arc,No,,D › Worst
,Tarantula,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,World loot pool, No, Free-to-Play,Season 13,Heavy,Heavy,Arc,No,,D › Worst
,Taraxippos,Scout Rifle,Lightweight,Legendary,Free-to-Play, Primary, Strand,A > Strong,PvP,Event: Guardian Games, No, Free-to-Play,Season 23,Kinetic,Primary,Strand,No,Top-tier,A › Strong
,Targeted Redaction,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Void,C > Weak,PvE,Xûr, Yes, Free-to-Play,Season 21,Energy,Primary,Void,Craftable,,C › Weak
,Tarnation,Grenade Launcher,Rapid-Fire,Legendary,The Witch Queen, Heavy, Arc,C > Weak,-,Wellspring, Yes, Witch Queen,Season 16,Heavy,Heavy,Arc,Craftable,,C › Weak
,Tarnished Mettle,Scout Rifle,Lightweight,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvE,Xûr, Yes, Free-to-Play,Season 18,Energy,Primary,Arc,Craftable,Top-tier,A › Strong
,Tarrabah,Submachine Gun,Exotic,Exotic,Forsaken Pack, Primary, Solar,B > Average,PvE,Exotic Kiosk, No, Forsaken Pack,Season 4,Energy,Primary,Solar,No,,B › Average
,Tears of Contrition,Scout Rifle,Precision,Legendary,Beyond Light Pack, Primary, Kinetic,B > Average,PvP,Presage, Yes, Beyond Light Pack,Season 17,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Techeun Force,Fusion Rifle,Adaptive,Legendary,Forsaken Pack, Special, Arc,S > Best,PvE + PvP,Last Wish Raid, Yes, Forsaken Pack,Season 4,Energy,Special,Arc,Craftable,Top-tier,S › Best
,Telesto,Fusion Rifle,Exotic,Exotic,Free-to-Play, Special, Void,B > Average,-,Exotic Engram, No, Free-to-Play,Season 2,Energy,Special,Void,No,,B › Average
,Temptation's Hook,Sword,Caster,Legendary,Free-to-Play, Heavy, Arc,D > Worst,-,Arrivals Engrams, No, Free-to-Play,Episode 3,Heavy,Heavy,Arc,No,,D › Worst
,Terminus Horizon,Machine Gun,High-Impact,Legendary,Free-to-Play, Heavy, Arc,A > Strong,PvE,Spire of the Watcher Dungeon, No, Free-to-Play,Season 19,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Tessellation,Fusion Rifle,Exotic,Exotic,The Final Shape, Special, Kinetic,C > Weak,-,Pre-order bonus, No, The Final Shape,Season 22,Energy,Special,Kinetic,No,,C › Weak
,The Call,Sidearm,Rocket-Assisted,Legendary,The Final Shape, Special, Strand,S > Best,PvE,The Pale Heart, Yes, The Final Shape,The Final Shape,Kinetic,Special,Strand,Craftable,Top-tier,S › Best
,The Chaperone,Shotgun,Exotic,Exotic,Beyond Light Pack, Special, Kinetic,S > Best,PvP,Exotic Quest, No, Beyond Light Pack,Season 4,Kinetic,Special,Kinetic,No,Top-tier,S › Best
,The Colony,Grenade Launcher,Exotic,Exotic,Free-to-Play, Heavy, Void,D > Worst,-,Exotic Engram, No, Free-to-Play,Season 2,Heavy,Heavy,Void,No,,D › Worst
,The Comedian,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Void,C > Weak,-,Nightfall: The Ordeals, No, Free-to-Play,Season 15,Energy,Special,Void,No,,C › Weak
,The Deicide,Shotgun,Rapid-Fire,Legendary,Free-to-Play, Special, Void,A > Strong,PvE,Xûr, No, Free-to-Play,Season 14,Energy,Special,Void,No,Top-tier,A › Strong
,The Domino,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Solar,D > Worst,-,World loot pool, No, Free-to-Play,The Final Shape,Energy,Special,Solar,No,,D › Worst
,The Enigma,Glaive,Adaptive,Legendary,The Witch Queen, Special, Void,B > Average,PvE,Throne World, Yes, Witch Queen,Season 16,Energy,Special,Void,Craftable,,B › Average
,The Epicurean,Fusion Rifle,Precision,Legendary,Witch Queen Dungeon Key, Special, Void,A > Strong,-,Duality Dungeon, Yes, Episode 3: Heretic,Season 17,Energy,Special,Void,Craftable,Top-tier,A › Strong
,The Eremite,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Solar,S > Best,PvE,Xûr, Yes, Free-to-Play,Season 22,Energy,Special,Solar,Craftable,Top-tier,S › Best
,The Fool's Remedy,Sidearm,SUROS Rapid-Fire,Legendary,Free-to-Play, Primary, Solar,B > Average,-,Iron Banner, No, Free-to-Play,Season 11,Energy,Primary,Solar,No,,B › Average
,The Forward Path,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,Iron Banner, No, Free-to-Play,Season 11,Kinetic,Primary,Kinetic,No,,D › Worst
,The Fourth Horseman,Shotgun,Exotic,Exotic,Shadowkeep Pack, Special, Solar,B > Average,PvE,Exotic Kiosk, No, Shadowkeep Pack,Season 10,Energy,Special,Solar,No,,B › Average
,The Guiding Sight,Scout Rifle,High-Impact,Legendary,Free-to-Play, Primary, Strand,D > Worst,-,Iron Banner, No, Free-to-Play,Season 12,Kinetic,Primary,Strand,No,,D › Worst
,The Hero's Burden,Submachine Gun,Adaptive,Legendary,Free-to-Play, Primary, Void,B > Average,-,Iron Banner, No, Free-to-Play,Season 17,Energy,Primary,Void,No,,B › Average
,The Hothead,Rocket Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Nightfall: The Ordeals, No, Free-to-Play,Season 15,Heavy,Heavy,Arc,No,,C › Weak
,The Huckleberry,Submachine Gun,Exotic,Exotic,Free-to-Play, Primary, Kinetic,B > Average,PvE,Exotic Engram, No, Free-to-Play,Season 3,Kinetic,Primary,Kinetic,No,,B › Average
,The Immortal,Submachine Gun,Aggressive,Legendary,The Final Shape, Primary, Strand,S > Best,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 20,Kinetic,Primary,Strand,No,Top-tier,S › Best
,The Inquisitor,Shotgun,Pinpoint Slug,Legendary,The Final Shape, Special, Arc,A > Strong,PvP,Trials of Osiris, No, The Final Shape,Season 18,Energy,Special,Arc,No,Top-tier,A › Strong
,The Jade Rabbit,Scout Rifle,Exotic,Exotic,Free-to-Play, Primary, Kinetic,B > Average,PvP,Exotic Engram, No, Free-to-Play,Season 2,Kinetic,Primary,Kinetic,No,,B › Average
,The Keening,Sidearm,Adaptive,Legendary,Free-to-Play, Primary, Arc,B > Average,PvE,Playlist: Crucible, No, Free-to-Play,Season 13,Energy,Primary,Arc,No,,B › Average
,The Lament,Sword,Exotic,Exotic,Beyond Light Pack, Heavy, Solar,C > Weak,-,Exotic Quest, No, Beyond Light Pack,Season 12,Heavy,Heavy,Solar,No,,C › Weak
,The Last Breath,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Xûr, No, Free-to-Play,Season 15,Kinetic,Primary,Kinetic,No,,C › Weak
,The Last Word,Hand Cannon,Exotic,Exotic,Forsaken Pack, Primary, Kinetic,A > Strong,PvP,Exotic Kiosk, No, Forsaken Pack,Season 5,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,The Long Walk,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Xûr, No, Free-to-Play,Season 15,Energy,Special,Solar,No,,C › Weak
,The Manticore,Submachine Gun,Exotic,Exotic,The Witch Queen, Primary, Void,C > Weak,-,Exotic Kiosk, No, Witch Queen,Season 19,Energy,Primary,Void,No,,C › Weak
,The Messenger,Pulse Rifle,High-Impact,Legendary,The Final Shape, Primary, Kinetic,A > Strong,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 13,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,The Militia's Birthright,Grenade Launcher,Lightweight,Legendary,Free-to-Play, Special, Kinetic,B > Average,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 18,Kinetic,Special,Kinetic,No,,B › Average
,The Mountaintop,Grenade Launcher,Micro-Missile,Legendary,Free-to-Play, Special, Kinetic,S > Best,PvE,Onslaught Activity, No, Free-to-Play,Into the Light,Kinetic,Special,Kinetic,No,Top-tier,S › Best
,The Navigator,Trace Rifle,Exotic,Exotic,Free-to-Play, Special, Strand,B > Average,PvE,Ghost of the Deep Dungeon, No, Free-to-Play,Season 21,Kinetic,Special,Strand,No,,B › Average
,The Number,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Arc,D > Worst,-,Xûr, No, Free-to-Play,Season 14,Energy,Primary,Arc,No,,D › Worst
,The Other Half,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Void,S > Best,PvE,Dares of Eternity, Yes, Free-to-Play,30th Anniversary event,Heavy,Heavy,Void,Craftable,Top-tier,S › Best
,The Palindrome,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvP,Nightfall: The Ordeals, No, Free-to-Play,Episode 3,Energy,Primary,Arc,No,Top-tier,A › Strong
,The Prophet,Scout Rifle,Aggressive,Legendary,The Final Shape, Primary, Stasis,A > Strong,PvP,Trials of Osiris, No, The Final Shape,Season 23,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,The Prospector,Grenade Launcher,Exotic,Exotic,Free-to-Play, Heavy, Arc,D > Worst,-,Exotic Engram, No, Free-to-Play,Season 1,Heavy,Heavy,Arc,No,,D › Worst
,The Queenbreaker,Linear Fusion Rifle,Exotic,Exotic,Free-to-Play, Heavy, Arc,S+ > Meta,PvE,Exotic Engram, No, Free-to-Play,Season 4,Heavy,Heavy,Arc,No,Top-tier,S+ > Meta
,The Queenbreaker,Linear Fusion Rifle,Exotic,Exotic,Free-to-Play, Heavy, Arc,S+ > Meta,PvE,Exotic Engram, No, Free-to-Play,Season 4,Heavy,Heavy,Arc,No,Top-tier,S+ > Meta
,The Recluse,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Void,S > Best,PvE + PvP,Onslaught Activity, No, Free-to-Play,Into the Light,Energy,Primary,Void,No,Top-tier,S › Best
,The Riposte,Auto Rifle,Lightweight,Legendary,Free-to-Play, Primary, Void,S > Best,PvE + PvP,Crucible Competitive, No, Free-to-Play,The Final Shape,Energy,Primary,Void,No,Top-tier,S › Best
,The Scholar,Scout Rifle,High-Impact,Legendary,The Final Shape, Primary, Kinetic,C > Weak,-,Trials of Osiris, No, The Final Shape,Season 10,Kinetic,Primary,Kinetic,No,,C › Weak
,The Showrunner,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Recovered Red War, No, Free-to-Play,Season 22,Kinetic,Primary,Kinetic,No,,C › Weak
,The Slammer,Sword,Vortex,Legendary,Free-to-Play, Heavy, Stasis,S > Best,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 23,Heavy,Heavy,Stasis,No,Top-tier,S › Best
,The Steady Hand,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,Iron Banner, No, Free-to-Play,Season 12,Kinetic,Primary,Kinetic,No,,D › Worst
,The Summoner,Auto Rifle,Adaptive,Legendary,The Final Shape, Primary, Solar,A > Strong,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 23,Energy,Primary,Solar,No,Top-tier,A › Strong
,The Supremacy,Sniper Rifle,Rapid-Fire,Legendary,Forsaken Pack, Special, Kinetic,S > Best,PvE + PvP,Last Wish Raid, Yes, Forsaken Pack,Season 4,Kinetic,Special,Kinetic,Craftable,Top-tier,S › Best
,The Third Axiom,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,Vanguard Focusing, No, Free-to-Play,Season 13,Energy,Primary,Arc,No,,C › Weak
,The Time-Worn Spire,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvP,Iron Banner, No, Free-to-Play,Season 13,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,The Title,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Void,S > Best,PvE,Event: Guardian Games, No, Free-to-Play,Season 23,Energy,Primary,Void,No,Top-tier,S › Best
,The Vision,Sidearm,Omolon Adaptive,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,Xûr, No, Free-to-Play,Season 14,Energy,Primary,Arc,No,,C › Weak
,The Wardcliff Coil,Rocket Launcher,Exotic,Exotic,Free-to-Play, Heavy, Arc,D > Worst,-,Exotic Engram, No, Free-to-Play,Season 1,Heavy,Heavy,Arc,No,,D › Worst
,The Wizened Rebuke,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Arc,B > Average,PvP,Iron Banner, No, Free-to-Play,Season 17,Energy,Special,Arc,No,,B › Average
,Thermal Erosion,Machine Gun,Rapid-Fire,Legendary,Beyond Light Pack, Heavy, Solar,C > Weak,-,Empire Hunts, No, Beyond Light Pack,Season 12,Heavy,Heavy,Solar,No,,C › Weak
,Thin Precipice,Sword,Vortex,Legendary,Free-to-Play, Heavy, Strand,D > Worst,-,Xûr, Yes, Free-to-Play,Season 21,Heavy,Heavy,Strand,Craftable,,D › Worst
,Thorn,Hand Cannon,Exotic,Exotic,Forsaken Pack, Primary, Kinetic,A > Strong,PvP,Exotic Kiosk, No, Forsaken Pack,Season 6,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Thoughtless,Sniper Rifle,Adaptive,Legendary,The Witch Queen, Special, Stasis,A > Strong,PvE + PvP,Vox Obscura, Yes, Witch Queen,Season 16,Kinetic,Special,Stasis,Craftable,Top-tier,A › Strong
,Threaded Needle,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,World loot pool, No, Free-to-Play,Season 13,Heavy,Heavy,Void,No,,C › Weak
,Threaded Needle,Linear Fusion Rifle,Precision,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,World loot pool, No, Free-to-Play,Season 13,Heavy,Heavy,Void,No,,C › Weak
,Throne-Cleaver,Sword,Aggressive,Legendary,Free-to-Play, Heavy, Solar,B > Average,-,Engram Focusing, Yes, Free-to-Play,Season 20,Heavy,Heavy,Solar,Craftable,,B › Average
,Thunderlord,Machine Gun,Exotic,Exotic,Forsaken Pack, Heavy, Arc,A > Strong,PvE,Exotic Engram, No, Forsaken Pack,Season 4,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Ticuu's Divination,Combat Bow,Exotic,Exotic,Beyond Light Pack, Primary, Solar,C > Weak,-,Exotic Kiosk, No, Beyond Light Pack,Season 13,Energy,Primary,Solar,No,,C › Weak
,Tigerspite,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Shattered Throne Dungeon, No, Free-to-Play,Season 14,Kinetic,Primary,Kinetic,No,,C › Weak
,Timelines' Vertex,Fusion Rifle,Adaptive,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Xûr, No, Free-to-Play,Season 10,Energy,Special,Solar,No,,C › Weak
,Timeworn Wayfarer,Scout Rifle,Aggressive,Legendary,Episode 1: Echoes, Primary, Solar,A > Strong,PvE + PvP,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Energy,Primary,Solar,Craftable,Top-tier,A › Strong
,Tinasha's Mastery,Sidearm,Rocket-Assisted,Legendary,Free-to-Play, Special, Stasis,S > Best,PvE,Iron Banner, No, Free-to-Play,Episode 2,Kinetic,Special,Stasis,No,Top-tier,S › Best
,Toil and Trouble,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 11,Kinetic,Special,Kinetic,No,,C › Weak
,Tommy's Matchbook,Auto Rifle,Exotic,Exotic,Shadowkeep Pack, Primary, Solar,S > Best,PvE + PvP,Exotic Kiosk, No, Shadowkeep Pack,Season 10,Energy,Primary,Solar,No,Top-tier,S › Best
